customerId,name,registrationNumber,region,segment,status,turnover,riskScore,sicCode
UNB-00001,Bryanston Agriculture (Pty) Ltd,,Mpumalanga,,unbanked,,,4923
UNB-00002,Sunrise Group Pty Ltd,,Gauteng,,unbanked,,,6110
UNB-00003,Hermanus Textiles SA,,Mpumalanga,,unbanked,,,7120
UNB-00004,Paarl Transport (Pty)Ltd,,North West,,unbanked,,,5610
UNB-00005,Sunrise Capital (Pty) Ltd,,Northern Cape,,unbanked,,,6411
UNB-00006,Drakensberg Pharma Pty Ltd,,Eastern Cape,,unbanked,,,1512
UNB-00007,Upington Mining SA,,Limpopo,,unbanked,,,6810
UNB-00008,Ubuntu Mining (Pty)Ltd,,Western Cape,,unbanked,,,6110
UNB-00009,Mossel Bay Exports (Pty) Ltd,,Northern Cape,,unbanked,,,4923
UNB-00010,Bushveld Solutions Pty Ltd,,KwaZulu-Natal,,unbanked,,,2710
UNB-00011,Thaba Transport SA,,KwaZulu-Natal,,unbanked,,,5610
UNB-00012,Table Mountain Group (Pty)Ltd,,North West,,unbanked,,,6110
UNB-00013,Nelspruit Construction (Pty) Ltd,,Eastern Cape,,unbanked,,,7120
UNB-00014,Sunrise Motors Pty Ltd,,KwaZulu-Natal,,unbanked,,,2310
UNB-00015,Midrand Transport SA,,Western Cape,,unbanked,,,2520
UNB-00016,Umhlanga Holdings Pty Ltd,,Western Cape,,unbanked,,,4711
UNB-00017,Knysna Svcs,,Northern Cape,,unbanked,,,6201
UNB-00018,Sandton Manufacturing Pty Ltd,,North West,,unbanked,,,1110
UNB-00019,Springbok Technology,,Free State,,unbanked,,,5610
UNB-00020,Drakensberg Consult,,Northern Cape,,unbanked,,,6110
UNB-00021,Hermanus Energy (Pty) Ltd,,Gauteng,,unbanked,,,1512
UNB-00022,Bryanston Financial Services,,Northern Cape,,unbanked,,,2520
UNB-00023,Azania Technology,,Eastern Cape,,unbanked,,,6420
UNB-00024,Rustenburg Construction SA,,Gauteng,,unbanked,,,2710
UNB-00025,Nelspruit Properties (Pty) Ltd,,KwaZulu-Natal,,unbanked,,,7120
UNB-00026,Umhlanga Eng,,Western Cape,,unbanked,,,4711
UNB-00027,Reef Motors (Pty) Ltd,,Northern Cape,,unbanked,,,1110
UNB-00028,Protea Manufacturing (Pty) Ltd,,Limpopo,,unbanked,,,8610
UNB-00029,Centurion Group SA,,Mpumalanga,,unbanked,,,9700
UNB-00030,Umhlanga Service Co,,KwaZulu-Natal,,unbanked,,,4520
UNB-00031,Fourways Construction SA,,Western Cape,,unbanked,,,1512
UNB-00032,Bedfordview Logistics Solutions,,Limpopo,,unbanked,,,6411
UNB-00033,Sunrise Consultants,,Mpumalanga,,unbanked,,,4520
UNB-00034,Kempton Mining SA,,Mpumalanga,,unbanked,,,6110
UNB-00035,Bloemfontein Construction SA,,KwaZulu-Natal,,unbanked,,,6420
UNB-00036,Highveld Props,,Western Cape,,unbanked,,,5510
UNB-00037,Berea Enterprise,,KwaZulu-Natal,,unbanked,,,7120
UNB-00038,East London Chem,,Western Cape,,unbanked,,,6420
UNB-00039,Mahikeng Pharma Pty Ltd,,KwaZulu-Natal,,unbanked,,,1512
UNB-00040,East London Eng.,,Limpopo,,unbanked,,,2710
UNB-00041,Fourways Enterprises,,North West,,unbanked,,,6420
UNB-00042,Knysna Textiles,,Free State,,unbanked,,,4923
UNB-00043,Port Elizabeth Agriculture,,Limpopo,,unbanked,,,6201
UNB-00044,Fourways Chemicals,,Western Cape,,unbanked,,,7111
UNB-00045,Sunrise Foods,,Limpopo,,unbanked,,,6110
UNB-00046,Menlyn Energy,,North West,,unbanked,,,9700
UNB-00047,Waterberg Transport,,KwaZulu-Natal,,unbanked,,,4711
UNB-00048,Valley Mining,,KwaZulu-Natal,,unbanked,,,4100
UNB-00049,Fourways Steel,,Western Cape,,unbanked,,,4711
UNB-00050,Centurion Freight,,Western Cape,,unbanked,,,6810
UNB-00051,Kimberley Energy,,North West,,unbanked,,,4520
UNB-00052,East London Agriculture,,Limpopo,,unbanked,,,1110
UNB-00053,Franschhoek Logistics,,KwaZulu-Natal,,unbanked,,,1512
UNB-00054,Golden Holdings,,KwaZulu-Natal,,unbanked,,,7111
UNB-00055,Rivonia Steel,,Gauteng,,unbanked,,,5510
UNB-00056,Highveld Manufacturing,,North West,,unbanked,,,9700
UNB-00057,Stellenbosch Capital,,North West,,unbanked,,,4100
UNB-00058,Lowveld Imports,,KwaZulu-Natal,,unbanked,,,9700
UNB-00059,Mahikeng Foods,,Free State,,unbanked,,,4100
UNB-00060,Kimberley Solutions,,North West,,unbanked,,,9700
UNB-00061,Sunrise Enterprises,,Limpopo,,unbanked,,,2710
UNB-00062,Bushveld Trading,,Eastern Cape,,unbanked,,,7111
UNB-00063,Franschhoek Pharma,,Limpopo,,unbanked,,,2710
UNB-00064,Bloemfontein Engineering,,KwaZulu-Natal,,unbanked,,,6810
UNB-00065,Springbok Finance,,Northern Cape,,unbanked,,,7111
UNB-00066,Drakensberg Construction,,North West,,unbanked,,,2710
UNB-00067,Bloemfontein Retail,,Gauteng,,unbanked,,,6411
UNB-00068,Fourways Capital,,Gauteng,,unbanked,,,7111
UNB-00069,Kempton Properties,,North West,,unbanked,,,6201
UNB-00070,Menlyn Chemicals,,Western Cape,,unbanked,,,6411
UNB-00071,Waterberg Holdings,,North West,,unbanked,,,4711
UNB-00072,Bloemfontein Finance,,Northern Cape,,unbanked,,,6411
UNB-00073,Azania Motors,,Gauteng,,unbanked,,,8610
UNB-00074,Knysna Engineering,,Northern Cape,,unbanked,,,1110
UNB-00075,Bryanston Textiles,,Eastern Cape,,unbanked,,,5610
UNB-00076,Bedfordview Services,,Western Cape,,unbanked,,,2710
UNB-00077,East London Holdings,,Free State,,unbanked,,,7120
UNB-00078,Kempton Chemicals,,Mpumalanga,,unbanked,,,9700
UNB-00079,Berea Pharma,,Limpopo,,unbanked,,,4520
UNB-00080,Bedfordview Retail,,Northern Cape,,unbanked,,,6810
UNB-00081,Cape Services,,Northern Cape,,unbanked,,,7120
UNB-00082,Stellenbosch Holdings,,Free State,,unbanked,,,8610
UNB-00083,Menlyn Exports,,Limpopo,,unbanked,,,2710
UNB-00084,Mahikeng Engineering,,Eastern Cape,,unbanked,,,6420
UNB-00085,Upington Agriculture,,Western Cape,,unbanked,,,4520
UNB-00086,Franschhoek Enterprises,,Mpumalanga,,unbanked,,,7120
UNB-00087,Polokwane Motors,,Gauteng,,unbanked,,,4100
UNB-00088,Highveld Group,,KwaZulu-Natal,,unbanked,,,6810
UNB-00089,Bloemfontein Technologies,,Western Cape,,unbanked,,,2310
UNB-00090,Bryanston Consulting,,Limpopo,,unbanked,,,9700
UNB-00091,Rustenburg Foods,,Free State,,unbanked,,,9700
UNB-00092,Table Mountain Exports,,KwaZulu-Natal,,unbanked,,,6810
UNB-00093,Umhlanga Trading,,Eastern Cape,,unbanked,,,7111
UNB-00094,Springbok Imports,,Northern Cape,,unbanked,,,7111
UNB-00095,Upington Properties,,KwaZulu-Natal,,unbanked,,,1512
UNB-00096,Fourways Properties,,Gauteng,,unbanked,,,4100
