transactionId,senderAccountId,receiverAccountId,amount,currency,date,channel,reference
EFT-0000001,ACC-000085,ACC-000906,580973.07,ZAR,2024-01-12,EFT,RATES
EFT-0000002,ACC-000250,ACC-000480,2678247.4,ZAR,2024-02-02,EFT,UTILITIES
EFT-0000003,ACC-000659,ACC-000661,3318882.02,ZAR,2024-08-27,EFT,MAINTENANCE
EFT-0000004,ACC-000008,ACC-000378,4080831.73,ZAR,2023-10-31,EFT,MAINTENANCE
EFT-0000005,ACC-000955,ACC-000373,3326920.85,ZAR,2024-12-20,EFT,SUPPLIER PMT
EFT-0000006,ACC-000410,ACC-000095,4238422.49,ZAR,2024-08-10,EFT,LOAN REPAYMENT
EFT-0000007,ACC-000301,ACC-000235,4051145.79,ZAR,2023-06-06,EFT,STOCK
EFT-0000008,ACC-000765,ACC-000147,3637113.62,ZAR,2023-11-03,EFT,FUEL
EFT-0000009,ACC-000269,ACC-000388,3788692.07,ZAR,2024-02-05,EFT,INVOICE
EFT-0000010,ACC-000576,ACC-000581,1969165.38,ZAR,2023-05-15,EFT,RAW MATERIALS
EFT-0000011,ACC-000241,ACC-000132,2209697.76,ZAR,2024-05-09,EFT,DELIVERY
EFT-0000012,ACC-000179,ACC-000163,46158.01,ZAR,2024-08-12,EFT,RENT
EFT-0000013,ACC-000788,ACC-000561,4629963.69,ZAR,2023-04-09,EFT,SUBSCRIPTION
EFT-0000014,ACC-000781,ACC-001073,2967165.26,ZAR,2023-06-02,EFT,INSURANCE PREMIUM
EFT-0000015,ACC-000090,ACC-001060,2980979.32,ZAR,2023-06-26,EFT,INSURANCE PREMIUM
EFT-0000016,ACC-000719,ACC-000305,3266150.77,ZAR,2024-01-12,EFT,SALARY
EFT-0000017,ACC-000062,ACC-001070,2934459.03,ZAR,2024-08-09,EFT,LOAN REPAYMENT
EFT-0000018,ACC-000658,ACC-000307,3223160.95,ZAR,2024-03-20,EFT,DELIVERY
EFT-0000019,ACC-000263,ACC-001085,4064433.25,ZAR,2023-01-21,EFT,INSURANCE PREMIUM
EFT-0000020,ACC-000422,ACC-000440,3950443.43,ZAR,2023-05-08,EFT,STOCK
EFT-0000021,ACC-000148,ACC-000718,2236440.77,ZAR,2023-11-18,EFT,RENT
EFT-0000022,ACC-000892,ACC-000478,1284174.04,ZAR,2023-02-05,EFT,INVOICE
EFT-0000023,ACC-000290,ACC-000137,4726169.81,ZAR,2023-01-01,EFT,MAINTENANCE
EFT-0000024,ACC-000784,ACC-000749,3295958.31,ZAR,2024-03-31,EFT,RATES
EFT-0000025,ACC-000425,ACC-000279,2553196.44,ZAR,2024-12-05,EFT,RENT
EFT-0000026,ACC-000026,ACC-000963,1076457.1,ZAR,2023-05-18,EFT,FREIGHT CHARGE
EFT-0000027,ACC-001026,ACC-000223,1275209.37,ZAR,2024-01-26,EFT,FUEL
EFT-0000028,ACC-000061,ACC-000560,3472729.6,ZAR,2024-07-02,EFT,STOCK
EFT-0000029,ACC-000528,ACC-000158,2818428.96,ZAR,2024-10-25,EFT,COMMISSION
EFT-0000030,ACC-000682,ACC-001032,4820106.5,ZAR,2023-09-11,EFT,INVOICE
EFT-0000031,ACC-000434,ACC-001090,1647122.87,ZAR,2023-04-02,EFT,SUBSCRIPTION
EFT-0000032,ACC-000116,ACC-000186,490185.3,ZAR,2023-08-16,EFT,INSURANCE PREMIUM
EFT-0000033,ACC-000143,ACC-000728,4106805.57,ZAR,2024-05-16,EFT,RENT
EFT-0000034,ACC-000580,ACC-000227,3037530.99,ZAR,2023-02-19,EFT,FUEL
EFT-0000035,ACC-000148,ACC-001082,4410164.7,ZAR,2024-02-17,EFT,LOAN REPAYMENT
EFT-0000036,ACC-000007,ACC-000594,632278.61,ZAR,2024-01-23,EFT,CONSULTING FEE
EFT-0000037,ACC-000531,ACC-000587,3391237.02,ZAR,2024-03-04,EFT,TAX PAYMENT
EFT-0000038,ACC-000283,ACC-000410,4763105.3,ZAR,2024-06-17,EFT,MAINTENANCE
EFT-0000039,ACC-000785,ACC-000970,3173566.06,ZAR,2023-03-20,EFT,MAINTENANCE
EFT-0000040,ACC-000478,ACC-000956,2464506.24,ZAR,2023-01-11,EFT,UTILITIES
EFT-0000041,ACC-000406,ACC-000560,3489560.82,ZAR,2024-02-20,EFT,SALARY
EFT-0000042,ACC-000594,ACC-000438,1221509.12,ZAR,2024-11-08,EFT,COMMISSION
EFT-0000043,ACC-000033,ACC-000800,4650961.72,ZAR,2024-06-20,EFT,MAINTENANCE
EFT-0000044,ACC-000291,ACC-000420,255007.37,ZAR,2024-05-22,EFT,INSURANCE PREMIUM
EFT-0000045,ACC-000804,ACC-000937,4253959.86,ZAR,2023-05-01,EFT,DELIVERY
EFT-0000046,ACC-000236,ACC-000811,2844425.3,ZAR,2023-08-11,EFT,DELIVERY
EFT-0000047,ACC-000399,ACC-000741,29952.58,ZAR,2024-04-16,EFT,RAW MATERIALS
EFT-0000048,ACC-000079,ACC-000905,44814.23,ZAR,2024-03-17,EFT,LOAN REPAYMENT
EFT-0000049,ACC-000431,ACC-000124,4565589.01,ZAR,2023-01-08,EFT,RATES
EFT-0000050,ACC-000385,ACC-000239,4461020.83,ZAR,2024-07-03,EFT,CONSULTING FEE
EFT-0000051,ACC-000130,ACC-000543,3735581.89,ZAR,2023-01-06,EFT,SUBSCRIPTION
EFT-0000052,ACC-000156,ACC-000878,3719747.97,ZAR,2023-02-02,EFT,FUEL
EFT-0000053,ACC-000217,ACC-000798,2445594.64,ZAR,2024-05-22,EFT,RATES
EFT-0000054,ACC-000408,ACC-000613,1944548.11,ZAR,2023-04-23,EFT,RENT
EFT-0000055,ACC-000126,ACC-000816,1182906.42,ZAR,2024-11-25,EFT,RAW MATERIALS
EFT-0000056,ACC-000351,ACC-000226,3804619.04,ZAR,2023-09-11,EFT,RATES
EFT-0000057,ACC-000224,ACC-000720,3504928.35,ZAR,2024-11-13,EFT,UTILITIES
EFT-0000058,ACC-000584,ACC-000076,2511918.55,ZAR,2023-07-05,EFT,STOCK
EFT-0000059,ACC-000091,ACC-000829,961290.87,ZAR,2023-05-30,EFT,UTILITIES
EFT-0000060,ACC-000067,ACC-000304,1532576.51,ZAR,2024-10-10,EFT,MAINTENANCE
EFT-0000061,ACC-000344,ACC-000417,258751.61,ZAR,2023-04-23,EFT,CONSULTING FEE
EFT-0000062,ACC-000779,ACC-000338,4475583.62,ZAR,2023-07-06,EFT,SUPPLIER PMT
EFT-0000063,ACC-000546,ACC-000174,1401156.69,ZAR,2024-09-13,EFT,RENT
EFT-0000064,ACC-000206,ACC-000290,558087.3,ZAR,2024-11-16,EFT,SALARY
EFT-0000065,ACC-000288,ACC-000289,2944760.92,ZAR,2024-09-11,EFT,SUBSCRIPTION
EFT-0000066,ACC-000171,ACC-000065,652861.78,ZAR,2024-09-08,EFT,RENT
EFT-0000067,ACC-000767,ACC-000158,4709119.11,ZAR,2024-09-25,EFT,RAW MATERIALS
EFT-0000068,ACC-000888,ACC-000629,958937.78,ZAR,2024-07-17,EFT,CONSULTING FEE
EFT-0000069,ACC-000363,ACC-000090,339008.63,ZAR,2024-03-05,EFT,COMMISSION
EFT-0000070,ACC-000499,ACC-000876,4779036.71,ZAR,2023-03-04,EFT,STOCK
EFT-0000071,ACC-000566,ACC-000419,828008.34,ZAR,2024-06-05,EFT,INSURANCE PREMIUM
EFT-0000072,ACC-000904,ACC-000505,2859703.94,ZAR,2024-08-29,EFT,SALARY
EFT-0000073,ACC-000586,ACC-000211,1102071.47,ZAR,2024-12-26,EFT,CONSULTING FEE
EFT-0000074,ACC-000185,ACC-000931,3198256.91,ZAR,2023-10-12,EFT,RATES
EFT-0000075,ACC-000532,ACC-000683,581366.1,ZAR,2024-10-26,EFT,SUBSCRIPTION
EFT-0000076,ACC-000062,ACC-000735,3610536.91,ZAR,2024-02-23,EFT,DELIVERY
EFT-0000077,ACC-000524,ACC-000683,3652518.15,ZAR,2023-10-14,EFT,FUEL
EFT-0000078,ACC-000440,ACC-000722,3902675.68,ZAR,2023-04-19,EFT,INSURANCE PREMIUM
EFT-0000079,ACC-000677,ACC-000262,2908528.17,ZAR,2024-02-09,EFT,RATES
EFT-0000080,ACC-000293,ACC-000606,2395294.93,ZAR,2024-05-22,EFT,FUEL
EFT-0000081,ACC-000674,ACC-000155,4716803.62,ZAR,2023-07-04,EFT,DELIVERY
EFT-0000082,ACC-000132,ACC-000677,3039306.47,ZAR,2023-03-13,EFT,RATES
EFT-0000083,ACC-000200,ACC-000534,501618.88,ZAR,2024-06-23,EFT,RATES
EFT-0000084,ACC-000303,ACC-000082,3817347.06,ZAR,2024-10-21,EFT,SUPPLIER PMT
EFT-0000085,ACC-000637,ACC-000883,2998386.08,ZAR,2023-01-10,EFT,RENT
EFT-0000086,ACC-000166,ACC-001098,4077416.88,ZAR,2023-11-11,EFT,RAW MATERIALS
EFT-0000087,ACC-000199,ACC-000946,615816.04,ZAR,2023-02-15,EFT,RENT
EFT-0000088,ACC-000336,ACC-000417,4560878.73,ZAR,2023-01-25,EFT,MAINTENANCE
EFT-0000089,ACC-000118,ACC-000231,4395011.02,ZAR,2024-01-29,EFT,RENT
EFT-0000090,ACC-000082,ACC-000954,3078675.99,ZAR,2023-05-02,EFT,SUBSCRIPTION
EFT-0000091,ACC-000502,ACC-001029,2998257.62,ZAR,2024-11-26,EFT,UTILITIES
EFT-0000092,ACC-000522,ACC-000277,1355830.85,ZAR,2024-05-26,EFT,SUBSCRIPTION
EFT-0000093,ACC-000652,ACC-000886,733372.14,ZAR,2023-06-01,EFT,INSURANCE PREMIUM
EFT-0000094,ACC-000675,ACC-001105,3633675.29,ZAR,2023-05-29,EFT,INVOICE
EFT-0000095,ACC-000151,ACC-000279,2119448.43,ZAR,2024-12-11,EFT,UTILITIES
EFT-0000096,ACC-000665,ACC-000763,2093588.83,ZAR,2024-05-24,EFT,FREIGHT CHARGE
EFT-0000097,ACC-000307,ACC-001025,3883074.49,ZAR,2023-08-13,EFT,INVOICE
EFT-0000098,ACC-000003,ACC-000818,2369894.79,ZAR,2023-05-17,EFT,RENT
EFT-0000099,ACC-000288,ACC-000721,697176.71,ZAR,2024-04-16,EFT,RATES
EFT-0000100,ACC-000172,ACC-000043,586620.43,ZAR,2024-12-13,EFT,RATES
EFT-0000101,ACC-000298,ACC-000576,530496.15,ZAR,2024-08-18,EFT,INVOICE
EFT-0000102,ACC-000882,ACC-000020,385787.95,ZAR,2024-08-05,EFT,UTILITIES
EFT-0000103,ACC-000386,ACC-000620,4743854.44,ZAR,2024-04-26,EFT,UTILITIES
EFT-0000104,ACC-000648,ACC-000010,779858.74,ZAR,2024-10-19,EFT,SUPPLIER PMT
EFT-0000105,ACC-000009,ACC-000341,4379944.58,ZAR,2024-07-21,EFT,CONSULTING FEE
EFT-0000106,ACC-000341,ACC-000220,2607744.47,ZAR,2023-05-09,EFT,STOCK
EFT-0000107,ACC-000181,ACC-000683,2796691.79,ZAR,2023-03-21,EFT,TAX PAYMENT
EFT-0000108,ACC-000541,ACC-000688,273830.96,ZAR,2024-01-16,EFT,UTILITIES
EFT-0000109,ACC-000081,ACC-000995,4233123.07,ZAR,2023-01-29,EFT,MAINTENANCE
EFT-0000110,ACC-000444,ACC-000918,3782728.94,ZAR,2023-11-13,EFT,STOCK
EFT-0000111,ACC-000530,ACC-000197,4883327.4,ZAR,2024-08-01,EFT,SUPPLIER PMT
EFT-0000112,ACC-000968,ACC-000037,1783567.39,ZAR,2023-10-17,EFT,INSURANCE PREMIUM
EFT-0000113,ACC-000622,ACC-000284,3513432.72,ZAR,2023-04-10,EFT,RAW MATERIALS
EFT-0000114,ACC-000120,ACC-000410,3980448.45,ZAR,2024-05-03,EFT,SUPPLIER PMT
EFT-0000115,ACC-000122,ACC-000059,466907.68,ZAR,2023-08-26,EFT,STOCK
EFT-0000116,ACC-000800,ACC-000606,2616673.79,ZAR,2023-12-16,EFT,TAX PAYMENT
EFT-0000117,ACC-000234,ACC-000712,200544.51,ZAR,2024-12-30,EFT,INSURANCE PREMIUM
EFT-0000118,ACC-000507,ACC-000796,3139134.34,ZAR,2024-05-24,EFT,RENT
EFT-0000119,ACC-000634,ACC-000452,3987016.46,ZAR,2023-03-31,EFT,LOAN REPAYMENT
EFT-0000120,ACC-000251,ACC-000961,1400946.55,ZAR,2024-01-08,EFT,SUBSCRIPTION
EFT-0000121,ACC-000146,ACC-000376,2366568.14,ZAR,2023-09-20,EFT,TAX PAYMENT
EFT-0000122,ACC-000805,ACC-000032,1433482.03,ZAR,2024-02-23,EFT,RATES
EFT-0000123,ACC-000419,ACC-000791,417911.0,ZAR,2024-02-28,EFT,COMMISSION
EFT-0000124,ACC-000564,ACC-000729,4887169.47,ZAR,2023-02-28,EFT,MAINTENANCE
EFT-0000125,ACC-000709,ACC-001002,1996702.46,ZAR,2023-03-16,EFT,MAINTENANCE
EFT-0000126,ACC-000551,ACC-001048,2675811.22,ZAR,2024-04-21,EFT,RENT
EFT-0000127,ACC-000607,ACC-001013,997755.26,ZAR,2023-12-03,EFT,INVOICE
EFT-0000128,ACC-000502,ACC-000582,572075.01,ZAR,2024-04-10,EFT,SUPPLIER PMT
EFT-0000129,ACC-000117,ACC-000256,4939059.81,ZAR,2024-01-25,EFT,SUPPLIER PMT
