transactionId,senderAccountId,receiverAccountId,amount,currency,date,channel,reference
NAV-0015867,ACC-000116,ACC-000805,12449865.82,ZAR,2024-02-15,NAV,CLEARING
NAV-0015868,ACC-000483,ACC-000384,4222047.56,ZAR,2024-12-20,NAV,CLEARING
NAV-0015869,ACC-000389,ACC-000345,42276.92,ZAR,2024-02-09,NAV,CLEARING
NAV-0015870,ACC-000387,ACC-000628,12337425.17,ZAR,2023-11-26,NAV,CLEARING
NAV-0015871,ACC-000463,ACC-000404,8064824.74,ZAR,2024-11-20,NAV,CLEARING
NAV-0015872,ACC-000700,ACC-000210,10411343.52,ZAR,2024-02-14,NAV,CLEARING
NAV-0015873,ACC-000278,ACC-000796,4216517.87,ZAR,2024-11-26,NAV,CLEARING
NAV-0015874,ACC-000076,ACC-000854,14934532.92,ZAR,2023-10-17,NAV,CLEARING
NAV-0015875,ACC-000154,ACC-000160,3785212.41,ZAR,2023-12-27,NAV,CLEARING
NAV-0015876,ACC-000606,ACC-000751,2878862.18,ZAR,2023-06-12,NAV,CLEARING
NAV-0015877,ACC-000135,ACC-000537,12577200.31,ZAR,2024-06-12,NAV,CLEARING
NAV-0015878,ACC-000712,ACC-001086,3807332.65,ZAR,2024-12-30,NAV,CLEARING
NAV-0015879,ACC-000478,ACC-001055,12247380.72,ZAR,2023-08-16,NAV,CLEARING
NAV-0015880,ACC-000192,ACC-000542,9222722.18,ZAR,2024-08-22,NAV,CLEARING
NAV-0015881,ACC-000609,ACC-000565,8501659.45,ZAR,2023-02-10,NAV,CLEARING
NAV-0015882,ACC-000222,ACC-000418,13888662.99,ZAR,2024-02-12,NAV,CLEARING
NAV-0015883,ACC-000208,ACC-000052,9346676.97,ZAR,2023-02-19,NAV,CLEARING
NAV-0015884,ACC-000468,ACC-000950,11112983.23,ZAR,2024-09-20,NAV,CLEARING
NAV-0015885,ACC-000759,ACC-000807,1221039.04,ZAR,2024-09-27,NAV,CLEARING
NAV-0015886,ACC-000594,ACC-000361,3439695.64,ZAR,2024-03-27,NAV,CLEARING
NAV-0015887,ACC-000166,ACC-000090,13628533.36,ZAR,2024-01-19,NAV,CLEARING
NAV-0015888,ACC-000004,ACC-000682,11240108.22,ZAR,2023-08-11,NAV,CLEARING
NAV-0015889,ACC-000221,ACC-000968,446684.34,ZAR,2024-04-17,NAV,CLEARING
NAV-0015890,ACC-000223,ACC-000650,17291741.23,ZAR,2023-11-24,NAV,CLEARING
NAV-0015891,ACC-000276,ACC-000241,2467308.03,ZAR,2024-01-13,NAV,CLEARING
NAV-0015892,ACC-000759,ACC-000181,18567884.72,ZAR,2024-09-20,NAV,CLEARING
NAV-0015893,ACC-000354,ACC-000920,3474695.7,ZAR,2023-02-26,NAV,CLEARING
NAV-0015894,ACC-000664,ACC-000907,9326428.94,ZAR,2023-12-15,NAV,CLEARING
NAV-0015895,ACC-000324,ACC-000546,11039656.88,ZAR,2023-05-19,NAV,CLEARING
NAV-0015896,ACC-000530,ACC-000485,10217834.61,ZAR,2024-11-08,NAV,CLEARING
NAV-0015897,ACC-000213,ACC-001051,672664.33,ZAR,2023-03-20,NAV,CLEARING
NAV-0015898,ACC-000008,ACC-000918,19286544.37,ZAR,2023-03-17,NAV,CLEARING
NAV-0015899,ACC-000290,ACC-000246,17434732.23,ZAR,2024-12-26,NAV,CLEARING
NAV-0015900,ACC-000429,ACC-000984,7265744.93,ZAR,2023-08-19,NAV,CLEARING
NAV-0015901,ACC-000320,ACC-000069,16794863.11,ZAR,2024-08-23,NAV,CLEARING
NAV-0015902,ACC-000806,ACC-000058,9256306.26,ZAR,2023-12-18,NAV,CLEARING
NAV-0015903,ACC-000796,ACC-000353,2161969.35,ZAR,2023-05-25,NAV,CLEARING
NAV-0015904,ACC-000088,ACC-000397,6395276.66,ZAR,2023-01-09,NAV,CLEARING
NAV-0015905,ACC-000043,ACC-001094,16265455.6,ZAR,2024-07-03,NAV,CLEARING
NAV-0015906,ACC-000137,ACC-000164,11686554.58,ZAR,2024-09-09,NAV,CLEARING
NAV-0015907,ACC-000451,ACC-000058,2555301.94,ZAR,2024-07-15,NAV,CLEARING
NAV-0015908,ACC-000418,ACC-000472,16554724.44,ZAR,2023-07-22,NAV,CLEARING
NAV-0015909,ACC-000684,ACC-000732,13887910.21,ZAR,2023-02-05,NAV,CLEARING
NAV-0015910,ACC-000506,ACC-000579,7105749.37,ZAR,2024-10-20,NAV,CLEARING
NAV-0015911,ACC-000268,ACC-000210,5643672.66,ZAR,2024-09-03,NAV,CLEARING
NAV-0015912,ACC-000249,ACC-000323,17513767.04,ZAR,2024-06-13,NAV,CLEARING
NAV-0015913,ACC-000375,ACC-000635,303291.07,ZAR,2023-10-01,NAV,CLEARING
NAV-0015914,ACC-000327,ACC-001023,12918425.45,ZAR,2024-03-01,NAV,CLEARING
NAV-0015915,ACC-000525,ACC-000837,13344925.38,ZAR,2023-01-08,NAV,CLEARING
NAV-0015916,ACC-000463,ACC-000052,3150598.76,ZAR,2023-09-16,NAV,CLEARING
NAV-0015917,ACC-000652,ACC-000158,11028162.88,ZAR,2024-06-25,NAV,CLEARING
NAV-0015918,ACC-000266,ACC-000774,1066895.7,ZAR,2023-04-11,NAV,CLEARING
NAV-0015919,ACC-000561,ACC-000972,5460795.37,ZAR,2023-05-12,NAV,CLEARING
NAV-0015920,ACC-000065,ACC-000999,6773032.6,ZAR,2024-01-14,NAV,CLEARING
NAV-0015921,ACC-000401,ACC-000685,10415012.07,ZAR,2024-02-23,NAV,CLEARING
NAV-0015922,ACC-000371,ACC-001055,12189826.38,ZAR,2024-08-01,NAV,CLEARING
NAV-0015923,ACC-000320,ACC-000567,2230865.87,ZAR,2023-12-03,NAV,CLEARING
NAV-0015924,ACC-000147,ACC-000993,5909747.92,ZAR,2024-10-23,NAV,CLEARING
NAV-0015925,ACC-000652,ACC-000643,16805358.87,ZAR,2024-06-13,NAV,CLEARING
NAV-0015926,ACC-000101,ACC-000784,5815617.52,ZAR,2023-01-09,NAV,CLEARING
NAV-0015927,ACC-000581,ACC-000667,7914553.13,ZAR,2023-12-10,NAV,CLEARING
NAV-0015928,ACC-000487,ACC-000060,12112952.15,ZAR,2023-07-10,NAV,CLEARING
NAV-0015929,ACC-000749,ACC-000453,9917494.5,ZAR,2024-07-12,NAV,CLEARING
NAV-0015930,ACC-000042,ACC-000388,4110463.8,ZAR,2024-05-18,NAV,CLEARING
NAV-0015931,ACC-000063,ACC-000724,16226656.86,ZAR,2024-02-12,NAV,CLEARING
NAV-0015932,ACC-000596,ACC-000796,10589621.64,ZAR,2023-03-01,NAV,CLEARING
NAV-0015933,ACC-000359,ACC-000415,3757627.9,ZAR,2023-10-21,NAV,CLEARING
