transactionId,senderAccountId,receiverAccountId,amount,currency,date,channel,reference
SOF-0025867,ACC-000604,ACC-000796,17958470.25,ZAR,2024-10-12,SOF,SOURCE OF FUNDS
SOF-0025868,ACC-000274,ACC-000502,2941112.82,ZAR,2023-06-25,SOF,SOURCE OF FUNDS
SOF-0025869,ACC-000363,ACC-000767,9920823.03,ZAR,2024-12-03,SOF,SOURCE OF FUNDS
SOF-0025870,ACC-000742,ACC-000987,15327747.03,ZAR,2024-01-22,SOF,SOURCE OF FUNDS
SOF-0025871,ACC-000267,ACC-000090,13240972.73,ZAR,2024-07-16,SOF,SOURCE OF FUNDS
SOF-0025872,ACC-000064,ACC-000420,26974184.79,ZAR,2023-04-02,SOF,SOURCE OF FUNDS
SOF-0025873,ACC-000184,ACC-000636,16239176.75,ZAR,2024-01-08,SOF,SOURCE OF FUNDS
SOF-0025874,ACC-000602,ACC-000037,10177547.84,ZAR,2023-06-17,SOF,SOURCE OF FUNDS
SOF-0025875,ACC-000582,ACC-000038,2636280.87,ZAR,2024-06-07,SOF,SOURCE OF FUNDS
SOF-0025876,ACC-000465,ACC-001011,41075194.98,ZAR,2024-01-13,SOF,SOURCE OF FUNDS
SOF-0025877,ACC-000478,ACC-000075,34850674.26,ZAR,2023-05-19,SOF,SOURCE OF FUNDS
SOF-0025878,ACC-000088,ACC-000445,43451374.08,ZAR,2024-03-15,SOF,SOURCE OF FUNDS
SOF-0025879,ACC-000537,ACC-000320,22185337.85,ZAR,2023-04-09,SOF,SOURCE OF FUNDS
SOF-0025880,ACC-000618,ACC-000832,42960603.63,ZAR,2023-03-13,SOF,SOURCE OF FUNDS
SOF-0025881,ACC-000649,ACC-001098,3793154.8,ZAR,2023-07-11,SOF,SOURCE OF FUNDS
SOF-0025882,ACC-000556,ACC-000293,24695713.05,ZAR,2024-07-01,SOF,SOURCE OF FUNDS
SOF-0025883,ACC-000004,ACC-000794,49863550.38,ZAR,2024-11-18,SOF,SOURCE OF FUNDS
SOF-0025884,ACC-000244,ACC-000924,44406815.07,ZAR,2023-09-09,SOF,SOURCE OF FUNDS
SOF-0025885,ACC-000718,ACC-000452,9805685.3,ZAR,2023-06-18,SOF,SOURCE OF FUNDS
SOF-0025886,ACC-000473,ACC-000759,13480286.52,ZAR,2024-07-29,SOF,SOURCE OF FUNDS
SOF-0025887,ACC-000392,ACC-000965,37067642.87,ZAR,2023-10-03,SOF,SOURCE OF FUNDS
SOF-0025888,ACC-000654,ACC-000208,17365677.65,ZAR,2023-09-16,SOF,SOURCE OF FUNDS
SOF-0025889,ACC-000424,ACC-000643,48107017.43,ZAR,2023-10-30,SOF,SOURCE OF FUNDS
SOF-0025890,ACC-000015,ACC-000243,31337772.77,ZAR,2024-02-19,SOF,SOURCE OF FUNDS
SOF-0025891,ACC-000750,ACC-000671,16456093.9,ZAR,2023-02-11,SOF,SOURCE OF FUNDS
SOF-0025892,ACC-000318,ACC-000019,34880325.29,ZAR,2024-11-28,SOF,SOURCE OF FUNDS
SOF-0025893,ACC-000066,ACC-000796,5772455.99,ZAR,2023-04-18,SOF,SOURCE OF FUNDS
