transactionId,senderAccountId,receiverAccountId,amount,currency,date,channel,reference
SWF-0033867,ACC-000353,ACC-000086,48219162.77,GBP,2023-05-15,SWIFT,INWARD
SWF-0033868,ACC-000139,ACC-001076,44481787.46,ZAR,2023-01-29,SWIFT,OUTWARD
SWF-0033869,ACC-000366,ACC-000610,41008489.62,EUR,2023-10-06,SWIFT,INWARD
SWF-0033870,ACC-000072,ACC-000306,49611126.31,GBP,2023-10-16,SWIFT,INWARD
SWF-0033871,ACC-000770,ACC-000318,70464752.03,EUR,2023-10-10,SWIFT,INWARD
SWF-0033872,ACC-000770,ACC-000255,85257219.16,USD,2023-12-09,SWIFT,OUTWARD
SWF-0033873,ACC-000606,ACC-000993,17932937.37,GBP,2023-02-19,SWIFT,OUTWARD
SWF-0033874,ACC-000271,ACC-000142,17095355.9,ZAR,2024-11-21,SWIFT,OUTWARD
SWF-0033875,ACC-000059,ACC-000708,80188584.85,GBP,2024-12-07,SWIFT,INWARD
SWF-0033876,ACC-000368,ACC-000870,14481296.14,ZAR,2024-06-29,SWIFT,INWARD
SWF-0033877,ACC-000060,ACC-000823,40953997.5,GBP,2024-08-06,SWIFT,INWARD
SWF-0033878,ACC-000394,ACC-000933,59981480.73,ZAR,2023-03-14,SWIFT,OUTWARD
SWF-0033879,ACC-000311,ACC-001024,54824546.98,EUR,2023-10-30,SWIFT,OUTWARD
SWF-0033880,ACC-000335,ACC-000641,49714459.83,GBP,2023-11-08,SWIFT,OUTWARD
SWF-0033881,ACC-001039,ACC-000419,14681464.25,GBP,2023-03-03,SWIFT,INWARD
SWF-0033882,ACC-000542,ACC-000237,59377732.48,USD,2024-03-28,SWIFT,INWARD
SWF-0033883,ACC-000192,ACC-001025,87813682.61,EUR,2024-07-03,SWIFT,OUTWARD
SWF-0033884,ACC-000350,ACC-001013,30406798.22,EUR,2023-08-17,SWIFT,OUTWARD
SWF-0033885,ACC-000353,ACC-000010,95129017.0,EUR,2023-02-28,SWIFT,OUTWARD
SWF-0033886,ACC-000218,ACC-001050,82290337.7,USD,2023-06-09,SWIFT,OUTWARD
SWF-0033887,ACC-000440,ACC-000285,60970420.37,USD,2024-07-13,SWIFT,INWARD
SWF-0033888,ACC-000238,ACC-000842,28256563.4,ZAR,2023-12-15,SWIFT,INWARD
SWF-0033889,ACC-000426,ACC-000770,56317998.43,ZAR,2024-10-23,SWIFT,OUTWARD
SWF-0033890,ACC-000276,ACC-000239,57639087.35,EUR,2024-04-28,SWIFT,INWARD
